Plug-in date;Total mileage;State of charge when plugged in;Unplug date;State of charge when unplugged;Charging location;Location address;Tag; Cost* ;Energy charged*;Energy rate 1;Energy rate 2;Charged time;Precondition for departure;;
31/03/2024 21:25;31.137 km;39%;31/03/2024 23:05;80%;DC/AC eborn Network;Place des Orgières 38142 Auris ;Public;-- EUR;~ 30 kWh;--;--;1h 33min;Off;;
31/03/2024 09:48;31.137 km;40%;31/03/2024 09:51;40%;DC/AC eborn Network;Place des Orgières 38142 Auris ;Public;-- EUR;0 kWh;--;--;0 min;Off;;
30/03/2024 18:00;31.056 km;45%;30/03/2024 18:20;76%;190 Chemin des Fontaines;190 Chemin des Fontaines, 38190 Bernin;--;~ 5.40 EUR;~ 23 kWh;"0.23 EUR/kWh  (All day)";--;20 min;Off;;
30/03/2024 16:07;30.939 km;27%;30/03/2024 16:36;80%;HPC/DC Tesla Supercharger;1, boulevard André Boulloche 69800 Saint-Priest ;Public;-- EUR;~ 39 kWh;--;--;29 min;Off;;
30/03/2024 12:38;30.759 km;27%;30/03/2024 13:20;90%;HPC/DC Tesla Supercharger;Zac Des Maladieres 21200 Beaune ;Public;-- EUR;~ 45 kWh;--;--;41 min;Off;;
30/03/2024 11:37;30.746 km;31%;30/03/2024 11:38;31%;HPC/DC/AC Electra;58 route de Verdun 21200 Beaune ;Public;-- EUR;0 kWh;--;--;0 min;Off;;
29/03/2024 23:41;30.534 km;10%;30/03/2024 07:41;100%;Rue des Mérovingiens;Rue des Mérovingiens, 52100 Saint-Dizier;--;-- EUR;~ 67 kWh;--;--;6h 43min;Off;;
29/03/2024 19:52;30.307 km;48%;29/03/2024 20:16;80%;HPC/DC/AC E-Flux B.V.;RUE MADELEINE 12 6464 Baileux ;Public;-- EUR;~ 23 kWh;--;--;23 min;Off;;
28/03/2024 21:56;30.136 km;36%;29/03/2024 09:24;100%;AC TotalEnergies;Neysetterstraat 5 3150 Haacht ;Public;-- EUR;~ 53 kWh;--;--;10h 07min;Off;;
27/03/2024 23:42;29.912 km;35%;28/03/2024 11:16;100%;AC TotalEnergies;Neysetterstraat 5 3150 Haacht ;Public;-- EUR;~ 53 kWh;--;--;8h 18min;Off;;
27/03/2024 20:03;29.897 km;17%;27/03/2024 21:45;39%;AC TotalEnergies;Neysetterstraat 5 3150 Haacht ;Public;-- EUR;~ 16 kWh;--;--;1h 40min;Off;;
25/03/2024 23:20;29.718 km;29%;26/03/2024 07:06;67%;Home - Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 12.84 EUR;~ 33 kWh;"0.39 EUR/kWh  (All day)";--;7h 45min;On;;
25/03/2024 17:16;29.695 km;20%;25/03/2024 20:03;34%;Home - Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 4.51 EUR;~ 11 kWh;"0.39 EUR/kWh  (All day)";--;2h 45min;Off;;
22/03/2024 21:50;29.502 km;24%;23/03/2024 07:52;74%;Home - Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 16.50 EUR;~ 42 kWh;"0.39 EUR/kWh  (All day)";--;10h 01min;Off;;
20/03/2024 16:36;29.315 km;47%;21/03/2024 07:10;80%;Home - Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 11.01 EUR;~ 28 kWh;"0.39 EUR/kWh  (All day)";--;6h 42min;On;;
14/03/2024 11:15;29.192 km;34%;15/03/2024 10:50;80%;Home - Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 15.06 EUR;~ 38 kWh;"0.39 EUR/kWh  (All day)";--;8h 56min;Off;;
09/03/2024 08:24;29.036 km;53%;09/03/2024 10:41;80%;AC TotalEnergies;Neysetterstraat 5 3150 Haacht ;Public;-- EUR;~ 20 kWh;--;--;2h 01min;Off;;
08/03/2024 11:09;29.000 km;55%;08/03/2024 13:13;65%;Home - Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 3.47 EUR;~ 9 kWh;"0.39 EUR/kWh  (All day)";--;2h 03min;Off;;
03/03/2024 20:32;28.912 km;38%;04/03/2024 07:25;80%;Home - Provinciesteenweg 54;Provinciesteenweg 54, 3190 Boortmeerbeek;--;~ 13.46 EUR;~ 34 kWh;"0.39 EUR/kWh  (All day)";--;8h 08min;On;;
