PlugInDate;TotalMileage;SocPluggedin;UnplugDate;SocUnplugged;Cost;Charged;ChargedTime
28/11/2023 22:19;23.935 km;40%;29/11/2023 10:57;80%;~ 13.23 EUR;~ 34 kWh;7h 59min
26/11/2023 19:27;23.815 km;27%;27/11/2023 07:32;80%;~ 17.24 EUR;~ 44 kWh;10h 30min
25/11/2023 20:35;23.647 km;52%;26/11/2023 10:18;80%;~ 9.01 EUR;~ 23 kWh;5h 29min
24/11/2023 19:57;23.497 km;77%;25/11/2023 09:08;100%;~ 7.67 EUR;~ 20 kWh;4h 58min
23/11/2023 18:58;23.414 km;51%;24/11/2023 07:06;100%;~ 15.77 EUR;~ 40 kWh;10h 14min
23/11/2023 16:41;23.394 km;53%;23/11/2023 17:24;56%;~ 1.16 EUR;~ 3 kWh;42 min
23/11/2023 13:30;23.379 km;45%;23/11/2023 16:06;57%;~ 4.21 EUR;~ 11 kWh;2h 35min
19/11/2023 22:14;23.263 km;10%;20/11/2023 17:51;80%;~ 22.89 EUR;~ 58 kWh;13h 52min
17/11/2023 22:18;23.044 km;51%;18/11/2023 10:46;80%;~ 9.26 EUR;~ 24 kWh;5h 37min
17/11/2023 16:08;23.023 km;42%;17/11/2023 19:32;59%;~ 5.54 EUR;~ 14 kWh;3h 23min
14/11/2023 09:15;22.868 km;25%;14/11/2023 19:40;77%;~ 17.03 EUR;~ 43 kWh;10h 25min
09/11/2023 19:27;22.674 km;53%;10/11/2023 08:00;80%;~ 9.16 EUR;~ 23 kWh;5h 33min
06/11/2023 15:27;22.558 km;11%;06/11/2023 17:02;19%;~ 2.58 EUR;~ 7 kWh;1h 33min
